Título,RQ,Categoria
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ3,Diagnóstico/Causa-raiz
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ4,Privados/proprietários
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ5,Séries temporais (sensores/telemetria)
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ6,Híbrido (Edge
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ6,Cloud)
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ7,Autoencoder/VAE
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ8,Atenção/Attention (pesos/heatmaps)
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ9,Globais
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ10,Classificação
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ10,Latência/Tempo/Computação
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ11,Modelagem
An Adaptive Parallel Feature Learning and Hybrid Feature Fusion-Based Deep Learning Approach for Machining Condition Monitoring,RQ11,Generalização/Transferência
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ1,Multi-setor
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ2,Detecção de Anomalias/Falhas
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ3,Alerta/Detecção
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ3,Diagnóstico/Causa-raiz
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ4,"Público, O artigo usa SKAB, SWaT, DAMADICS e MSL. Link: https://www.kaggle.com/dsv/1693952 e https://www.google.com/search?q=http://diag.mchtr.pw.edu.pl/damadics/."
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ5,Séries temporais (sensores/telemetria)
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ6,Não mencionado
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)"
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ7,Autoencoder/VAE
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ7,Transformer/Attention
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ7,MLP/ANN (feedforward)
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ8,SHAP
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ9,Ambos
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ10,Classificação
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ10,Regressão
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ11,Dados
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ11,Modelagem
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ11,Generalização/Transferência
An explainable unsupervised anomaly detection framework for Industrial Internet of Things,RQ11,Interpretabilidade/XAI
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ1,Manufatura (geral)
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ2,Manutenção Prescritiva / Preditiva
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ2,Detecção de Anomalias/Falhas
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ3,Alerta/Detecção
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ3,Diagnóstico/Causa-raiz
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ3,Prescrição/Recomendação
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ4,Público
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ4,"Privados/proprietários, link: www.nasa.gov/content/prognostics-center-of-excellence-data-set-repository."
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ5,Séries temporais (sensores/telemetria)
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ6,Edge
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ7,Autoencoder/VAE
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ8,SHAP
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ9,Ambos
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ10,Regressão
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ10,Detecção de anomalias/FDD
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ11,Modelagem
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ11,Implantação & Tempo real
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ11,Dados
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ11,Generalização/Transferência
An explainable unsupervised learning framework for scalable machine fault detection in Industry 4.0,RQ11,Privacidade/Confidencialidade/Regulação
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ1,Plásticos
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ2,Controle de Qualidade (Defeitos)
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ2,Detecção de Anomalias/Falhas
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ3,Diagnóstico/Causa-raiz
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ3,Prescrição/Recomendação
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ3,Planejamento/Otimização
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ4,Privados/proprietários
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ5,Tabular (dados estruturados/atributos/features)
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ6,Não mencionado
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ7,Não mencionado.
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ8,SHAP
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ9,Ambos
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ10,Regressão
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ11,Generalização/Transferência
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ11,Interpretabilidade/XAI
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ11,Adoção humana/HITL
An Integrated Framework for Predictive Quality in Injection Molding: Combining Explainable AI and Time Series Analysis in a German Industry Case Study,RQ11,Modelagem
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ1,Químico/Processos
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ2,Forecasting (Demanda / Soft Sensing)
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ2,Otimização / Controle de Processo
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ2,Diagnóstico / Causa-raiz (FDD)
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ3,Planejamento/Otimização
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ3,Diagnóstico/Causa-raiz
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ4,Privados/proprietários
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ5,Séries temporais (sensores/telemetria)
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ6,Não mencionado
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ7,MLP/ANN (feedforward)
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)"
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ7,RNN (LSTM/GRU)
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ7,Transformer/Attention
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ8,Atenção/Attention (pesos/heatmaps)
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ9,Ambos
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ10,Regressão
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ10,Latência/Tempo/Computação
An Interpretable Light Attention–Convolution–Gate Recurrent Unit Architecture for the Highly Accurate Modeling of Actual Chemical Dynamic Processes,RQ11,Dados
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ1,Siderúrgico/Metalurgia
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ2,Manutenção Prescritiva / Preditiva
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ2,Detecção de Anomalias/Falhas
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ3,Alerta/Detecção
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ3,Diagnóstico/Causa-raiz
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ3,Planejamento/Otimização
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ3,HITL/Confiança/Uncertainty
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ4,Público
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ4,"Privados/proprietários, link: https://ti.arc.nasa.gov/c/6/."
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ5,Tabular (dados estruturados/atributos/features)
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ6,Não mencionado
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ7,Autoencoder/VAE
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ8,SHAP
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ9,Ambos
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ10,Classificação
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ11,Dados
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ11,Generalização/Transferência
Anomaly Detection in Asset Degradation Process Using Variational Autoencoder and Explanations,RQ11,Modelagem
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ1,Alimentos/Bebidas
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ2,Controle de Qualidade (Defeitos)
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ3,Alerta/Detecção
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ3,Inspeção visual/Localização
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ4,Privados/proprietários
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ5,Imagens (visão computacional)
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ6,Cloud
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)"
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ8,Saliency/Grad-CAM/IG/Occlusion (visão)
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ8,LIME
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ9,Locais
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ10,Classificação
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ11,Dados
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ11,Modelagem
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ11,Generalização/Transferência
Application of deep learning and explainable artificial intelligence (XAI) for detecting red chilli powder adulteration,RQ11,Implantação & Tempo real
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ1,Manufatura (geral)
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ2,Controle de Qualidade (Defeitos)
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ3,Inspeção visual/Localização
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ3,Alerta/Detecção
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ4,"Público, NEU-DET (aço), GC10 e conjuntos de imagens de raio-X de soldas."
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ5,Imagens (visão computacional)
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ6,Não mencionado
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)"
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ8,Não mencionado
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ9,Não mencionado
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ10,Classificação
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ11,Dados
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ11,Implantação & Tempo real
Automated Defect Detection in Manufacturing Using Enhanced VGG16 Convolutional Neural Networks,RQ11,Interpretabilidade/XAI
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ1,Manufatura (geral)
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ2,Manutenção Prescritiva / Preditiva
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ2,Detecção de Anomalias/Falhas
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ3,Prescrição/Recomendação
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ3,Diagnóstico/Causa-raiz
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ4,Privados/proprietários
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ5,Séries temporais (sensores/telemetria)
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ6,Não mencionado
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ7,RNN (LSTM/GRU)
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ7,Autoencoder/VAE
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ8,SHAP
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ9,Locais
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ10,Classificação
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ11,Dados
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ11,Modelagem
Automating Motor Predictive Maintenance (PdM) by real-time Explainable AI (XAI) and Deep Learning,RQ11,Generalização/Transferência
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ1,Logística/E-commerce
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ2,Robótica / Planejamento
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ3,Planejamento/Otimização
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ3,HITL/Confiança/Uncertainty
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ4,Simulados/gerados
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ5,Multimodal (fusão de modalidades)
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ6,Híbrido (Edge
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ6,Cloud)
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)"
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ7,Reinforcement Learning (DRL/RL)
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ7,GNN (Graph NN)
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ8,Saliency/Grad-CAM/IG/Occlusion (visão)
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ8,Contrafactual
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ9,Ambos
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ10,Robótica/Logística
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ10,Avaliação humana
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ11,Generalização/Transferência
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ11,Benchmarks/Padronização
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ11,Robótica/Logística
Autonomous Robotic Systems in E-commerce Warehousing: A Machine-Learning Optimization Approach,RQ11,Cibersegurança
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ1,Manufatura (geral)
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ2,Controle de Qualidade (Defeitos)
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ2,Manutenção Prescritiva / Preditiva
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ3,Inspeção visual/Localização
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ3,Alerta/Detecção
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ3,HITL/Confiança/Uncertainty
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ4,"Público, link: https://www.kaggle.com/datasets/ravirajsinh45/real-life-industrial-dataset-of-casting-product."
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ5,Imagens (visão computacional)
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ6,Cloud
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)"
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ7,Transformer/Attention
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ8,Saliency/Grad-CAM/IG/Occlusion (visão)
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ9,Locais
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ10,Classificação
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ10,Latência/Tempo/Computação
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ11,Implantação & Tempo real
BearFusionNet: AMulti-Stream Attention-Based Deep Learning Framework with Explainable AI for Accurate Detection of Bearing Casting Defects,RQ11,Modelagem
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ1,Multi-setor
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ2,Manutenção Prescritiva / Preditiva
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ2,RUL/Prognóstico
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ2,Detecção de Anomalias/Falhas
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ3,Prognóstico (RUL/Health)
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ3,Planejamento/Otimização
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ3,Diagnóstico/Causa-raiz
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ3,Prescrição/Recomendação
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ3,HITL/Confiança/Uncertainty
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ4,"Público, os conjuntos de dados utilizados são o NASA Turbofan Jet Engine (https://doi.org/10.21227/pjh5-p424), o MetroPT do Metro do Porto (https://doi.org/10.5281/zenodo.6854240) e o SCANIA Component X (https://arxiv.org/abs/2401.15199) ."
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ5,Séries temporais (sensores/telemetria)
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ5,Tabular (dados estruturados/atributos/features)
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ6,Não mencionado
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ7,RNN (LSTM/GRU)
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ7,Transformer/Attention
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ8,LIME
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ9,Locais
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ10,Regressão
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ10,Classificação
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ10,Métricas operacionais
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ11,Dados
Building of transformer-based RUL predictors supported by explainability techniques: Application on real industrial datasets,RQ11,Modelagem
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ1,Manufatura (geral)
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ2,Manutenção Prescritiva / Preditiva
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ2,RUL/Prognóstico
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ2,Detecção de Anomalias/Falhas
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ3,Prescrição/Recomendação
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ3,Planejamento/Otimização
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ4,Público
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ4,Privados/proprietários
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ5,Séries temporais (sensores/telemetria)
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ5,Tabular (dados estruturados/atributos/features)
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ5,Imagens (visão computacional)
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ6,Cloud
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ7,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)"
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ7,RNN (LSTM/GRU)
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ7,Transformer/Attention
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ7,Autoencoder/VAE
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ8,SHAP
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ8,LIME
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ9,Locais
D2PdM:Data-Driven Predictive Maintenance - Comparative Evaluation of ML Algorithms in Industrial Automation,RQ10,Classificação
