Título,RQ1,RQ2,RQ3,RQ4,RQ5,RQ6,RQ7,RQ8,RQ9,RQ10,RQ11
Scalable Concept Extraction in Industry 4.0,Multi-setor,Controle de Qualidade (Defeitos) + Detecção de Anomalias/Falhas + Manutenção Prescritiva / Preditiva,Inspeção visual/Localização + HITL/Confiança/Uncertainty,"Público + simulados, link: https://doi.org/10.5281/zenodo.7970596  e https://doi.org/10.5281/zenodo.7970490 ",Imagens (visão computacional),Não mencionado,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",Concept-based (TCAV/ECLAD/SPACE),Globais,Classificação + Avaliação XAI quantitativa,Interpretabilidade/XAI + Modelagem + Implantação & Tempo real
Scale‑preserving automatic concept extraction (SPACE),Multi-setor,Controle de Qualidade (Defeitos) + Detecção de Anomalias/Falhas,Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty + Planejamento/Otimização,"Público, link: https://github.com/Data-Science-in-Mechanical-Engineering/SPACE ",Imagens (visão computacional),Não mencionado,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",Concept-based (TCAV/ECLAD/SPACE) + Saliency/Grad-CAM/IG/Occlusion (visão),Globais,Classificação + Avaliação XAI quantitativa,Interpretabilidade/XAI + Modelagem + Dados
Shapley-based Explainable AI for Clustering Applications in Fault Diagnosis and Prognosis,Multi-setor,Diagnóstico / Causa-raiz (FDD) + RUL/Prognóstico,Diagnóstico/Causa-raiz + Planejamento/Otimização,"Público + Privados/proprietários, link: https://www.nasa.gov/content/prognostics-center-of-excellence-data-set-repository .",Imagens (visão computacional) + Séries temporais (sensores/telemetria),Não mencionado,Autoencoder/VAE + MLP/ANN (feedforward),SHAP,Ambos,Classificação + Regressão + Detecção de anomalias/FDD,Dados + Modelagem + Interpretabilidade/XAI + Implantação & Tempo real
Steel Plates Fault Detection with Explainable Inter-Attribute Attention Network,Siderúrgico/Metalurgia,Controle de Qualidade (Defeitos),Diagnóstico/Causa-raiz + Planejamento/Otimização,"Público, link: http://archive.ics.uci.edu/ml/index.php .",Tabular (dados estruturados/atributos/features),Não mencionado,MLP/ANN (feedforward) + Transformer/Attention,Atenção/Attention (pesos/heatmaps),Ambos,Classificação,Interpretabilidade/XAI + Dados
Through the Lens of Explainability: Enhancing Trust in Remaining Useful Life Prognosis Models,Siderúrgico/Metalurgia,RUL/Prognóstico,Diagnóstico/Causa-raiz + Prescrição/Recomendação + HITL/Confiança/Uncertainty,Privados/proprietários,Tabular (dados estruturados/atributos/features),Não mencionado,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet) + RNN (LSTM/GRU) + Transformer/Attention",LRP,Locais,Regressão + Avaliação XAI quantitativa,Interpretabilidade/XAI + Adoção humana/HITL + Privacidade/Confidencialidade/Regulação
Towards a Comprehensive Visual Quality Inspection for Industry 4.0.,Manufatura (geral),Controle de Qualidade (Defeitos),HITL/Confiança/Uncertainty + Inspeção visual/Localização,Privados/proprietários,Imagens (visão computacional) + Séries temporais (sensores/telemetria),Não mencionado,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet) + MLP/ANN (feedforward)",Saliency/Grad-CAM/IG/Occlusion (visão),Locais,Não mencionado,Dados + Adoção humana/HITL + Generalização/Transferência
Towards AI driven surface roughness evaluation in manufacturing: a prospective study,Manufatura (usinagem),Controle de Qualidade (Defeitos),Planejamento/Otimização + Prescrição/Recomendação + Alerta/Detecção,Revisão sistemática,Multimodal (fusão de modalidades),Não mencionado,Não mencionado,SHAP,Ambos,Regressão + Classificação,Benchmarks/Padronização + Interpretabilidade/XAI + Infraestrutura & Integração + Dados
Towards big industrial data mining through explainable automated machine learning,Manufatura (geral),Controle de Qualidade (Defeitos) + Manutenção Prescritiva / Preditiva,Planejamento/Otimização + Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty,Público,Tabular (dados estruturados/atributos/features),Não mencionado,"Não DL / ML clássico (Ensembles, iForest, DrCIF, etc.)",XAI framework (AMLExplainer/Tool),Ambos,Classificação + Latência/Tempo/Computação + Avaliação humana,Adoção humana/HITL + Interpretabilidade/XAI + Implantação & Tempo real + Infraestrutura & Integração
Towards region-based robotic machining system from perspective of intelligent manufacturing: A technology framework with case study,Automotivo,Robótica / Planejamento + Controle de Qualidade (Defeitos),Planejamento/Otimização,Privados/proprietários,Imagens (visão computacional),Não mencionado,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",Não mencionado,Não mencionado,Classificação + Regressão,Robótica/Logística + Modelagem + Dados
Transforming chemical process engineering The role of AI and machine learning in revolutionizing process systems,Químico/Processos,Otimização / Controle de Processo + Manutenção Prescritiva / Preditiva + Diagnóstico / Causa-raiz (FDD) + Detecção de Anomalias/Falhas,Prescrição/Recomendação + Planejamento/Otimização + Alerta/Detecção + Diagnóstico/Causa-raiz,Revisão sistemática,Multimodal (fusão de modalidades),Não mencionado,Não mencionado,SHAP + LIME,Ambos,Regressão + Classificação + Métricas operacionais,Dados + Interpretabilidade/XAI + Implantação & Tempo real + Infraestrutura & Integração + Privacidade/Confidencialidade/Regulação
TwinExplainer Explaining Predictions of an Automotive Digital Twin,Automotivo,Manutenção Prescritiva / Preditiva + Detecção de Anomalias/Falhas,Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty,Privados/proprietários,Séries temporais (sensores/telemetria),Não mencionado,"CNN (Conv1D/2D, YOLO, Faster R-CNN, ResNet, DenseNet)",SHAP,Ambos,Detecção de anomalias/FDD,Interpretabilidade/XAI + Adoção humana/HITL
Using an Explainable Machine Learning Approach to Minimize Opportunistic Maintenance Interventions,Plásticos,Manutenção Prescritiva / Preditiva + Diagnóstico / Causa-raiz (FDD) + Detecção de Anomalias/Falhas,Diagnóstico/Causa-raiz + Prescrição/Recomendação + Planejamento/Otimização,Privados/proprietários,Séries temporais (sensores/telemetria),Não mencionado,"Não DL / ML clássico (Ensembles, iForest, DrCIF, etc.)",SHAP,Ambos,Não mencionado,Dados + Modelagem + Generalização/Transferência
Using Deep Learning to Value Free-Form Text Data for Predictive Maintenance,Aeroespacial,Forecasting (Demanda / Soft Sensing) + Diagnóstico / Causa-raiz (FDD) + Manutenção Prescritiva / Preditiva,Planejamento/Otimização + Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty,Privados/proprietários,Texto (logs/texto livre),Não mencionado,Transformer/Attention,LIME,Ambos,Classificação + Detecção de anomalias/FDD,Dados + Infraestrutura & Integração + Adoção humana/HITL
Utilizing knowledge graphs for explainable artificial intelligence in manufacturing,Manufatura (geral),Controle de Qualidade (Defeitos) + Detecção de Anomalias/Falhas,Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty,Privados/proprietários,Séries temporais (sensores/telemetria),Edge,"Não DL / ML clássico (Ensembles, iForest, DrCIF, etc.)",Knowledge Graph/Ontologia/Regras,Locais,Classificação + Latência/Tempo/Computação + Avaliação humana,Adoção humana/HITL + Interpretabilidade/XAI
XAI Sustainable Human in the Loop Maintenance,Automotivo,Manutenção Prescritiva / Preditiva + EoL Sustentável,Prescrição/Recomendação + HITL/Confiança/Uncertainty + Planejamento/Otimização,Não mencionado,Multimodal (fusão de modalidades),Não mencionado,Não mencionado,Knowledge Graph/Ontologia/Regras,Locais,Não mencionado,Adoção humana/HITL + Interpretabilidade/XAI
XAI-KG: knowledge graph to support XAI and decision-making in manufacturing.,Manufatura (geral),Forecasting (Demanda / Soft Sensing),Planejamento/Otimização + Diagnóstico/Causa-raiz + HITL/Confiança/Uncertainty,"Simulados/gerados + Privados/proprietários,",Forecasting (Demanda / Soft Sensing) + Tabular (dados estruturados/atributos/features),Não mencionado,Não mencionado,LIME,Locais,Grafo/KG (nós/paths/TPL/MPL/APL),Adoção humana/HITL + Interpretabilidade/XAI
XFDDC: eXplainable Fault Detection Diagnosis and Correction framework for chemical process systems,Químico/Processos,Diagnóstico / Causa-raiz (FDD) + Manutenção Prescritiva / Preditiva,Diagnóstico/Causa-raiz + Prescrição/Recomendação + HITL/Confiança/Uncertainty,"Público + Simulado,  dataset de benchmark Tennessee Eastman Process (TEP)",Séries temporais (sensores/telemetria) + Tabular (dados estruturados/atributos/features),Não mencionado,"Não DL / ML clássico (Ensembles, iForest, DrCIF, etc.)",SHAP,Ambos,Detecção de anomalias/FDD + Classificação,Privacidade/Confidencialidade/Regulação + Modelagem
